Callsign,Track Miles,3Di Score,Fuel Burn,CO2
BAW349,567.428,0.915163,3.59087,11.419
BAW34BQ,629.86,0.215877,4.32062,13.7396
BAW34N,3860.66,0.593043,83.2519,264.741
BAW35,4446.34,0.0549907,45.2094,143.766
BAW352,571.615,1.58411,3.96063,12.5948
BAW354N,571.615,1.58411,3.96063,12.5948
BAW356,571.615,1.58411,3.48452,11.0808
BAW357,567.428,0.915163,3.43763,10.9317
BAW35MM,543.587,1.57714,3.47928,11.0641
BAW36,4452.12,0.171744,43.6287,138.739
BAW362,418.285,2.04598,3.03921,9.66469
BAW364,418.285,2.04598,3.03921,9.66469
BAW365,417.125,1.7915,2.80236,8.91149
BAW366,543.587,1.57714,3.46384,11.015
BAW368,543.587,1.57714,3.46384,11.015
BAW369,545.535,1.90431,3.47911,11.0636
BAW36CT,246.582,28.1286,1.93794,6.16266
BAW371,545.535,1.90431,3.47911,11.0636
BAW374,482.768,1.21817,3.13711,9.97601
BAW375,506.298,5.65095,3.16693,10.0708
BAW377,506.298,5.65095,3.16693,10.0708
BAW37AF,932.375,2.14614,5.45999,17.3628
BAW37DA,363.488,2.57193,2.49728,7.94136
BAW38,4425.28,0.511219,74.5234,236.984
BAW388,191.508,1.12642,1.67827,5.33689
BAW389,200.059,5.18351,1.71987,5.4692
BAW38DB,298.437,20.8261,2.18368,6.94409
BAW38P,4573.88,0.145703,95.9004,304.963
BAW39,4420,0.403486,73.8018,234.69
BAW391,200.059,5.18351,1.71987,5.4692
BAW392R,191.508,1.12642,1.64478,5.23039
BAW393B,200.059,5.18351,1.6755,5.3281
BAW394,191.508,1.12642,1.64478,5.23039
BAW395B,200.059,5.18351,1.6755,5.3281
BAW396,191.508,1.12642,1.64478,5.23039
BAW397,200.059,5.18351,1.6755,5.3281
BAW398R,191.508,1.12642,1.64478,5.23039
BAW399R,200.059,5.18351,1.6755,5.3281
BAW39YL,417.125,1.7915,2.80236,8.91149
BAW3C,3221.81,1.05232,71.4231,227.126
BAW3DL,302.552,10.6385,2.2292,7.08885
BAW3HK,425.637,3.83522,2.713,8.62734
BAW3PG,207.909,9.6437,1.77141,5.6331
BAW3RP,622.472,0.419281,3.88988,12.3698
BAW3ZL,431.601,1.25686,2.80745,8.92768
BAW404R,191.508,1.12642,1.64478,5.23039
BAW41C,3821.03,1.15056,55.4918,176.464
BAW41HA,201.501,0.78364,1.7357,5.51954
BAW41Y,418.285,2.04598,3.03921,9.66469
BAW423,201.501,0.78364,1.7357,5.51954
BAW428,212.07,5.53125,3.6367,11.5647
BAW429,201.501,0.78364,3.51545,11.1791
BAW42DB,273.244,11.4934,2.27017,7.21914
BAW42Y,417.125,1.7915,2.80236,8.91149
BAW430,212.07,5.53125,1.80795,5.7493
BAW431,201.501,0.78364,1.7357,5.51954
BAW432,212.07,5.53125,1.80795,5.7493
BAW433,201.501,0.78364,1.7357,5.51954
BAW435,201.501,0.78364,1.68993,5.37397
BAW438,212.07,5.53125,1.76735,5.62017
BAW439,201.501,0.78364,1.68993,5.37397
BAW43C,3821.03,1.15056,54.6718,173.856
BAW43HA,201.501,0.78364,1.7357,5.51954
BAW43LQ,629.86,0.215877,4.32062,13.7396
BAW440,212.07,5.53125,1.81727,5.77892
BAW442,212.07,5.53125,1.81727,5.77892
BAW444,212.07,5.53125,1.81727,5.77892
BAW44BC,623.399,0.534224,3.90035,12.4031
BAW44ML,1284.76,13.8328,6.86893,21.8432
BAW44N,4774.65,0.433154,78.7546,250.44
BAW454,925.919,2.10624,5.41616,17.2234
BAW456,695.59,3.05549,8.50224,27.0371
BAW457,680.316,1.01818,8.26334,26.2774
BAW45EM,680.316,1.01818,4.12248,13.1095
BAW45MA,1474.36,29.1154,7.67274,24.3993
BAW45T,786.123,0.77633,4.55037,14.4702
BAW460M,695.59,3.05549,11.9573,38.0242
BAW461,680.316,1.01818,11.5905,36.8579
BAW462,695.59,3.05549,4.68543,14.8997
BAW463,680.316,1.01818,4.49685,14.3
BAW464,695.59,3.05549,4.07752,12.9665
BAW465,680.316,1.01818,3.99213,12.695
BAW466,816.554,56.6646,4.92422,15.659
BAW467,508.123,1.36802,3.3093,10.5236
BAW468,525.179,4.42595,3.42041,10.8769
BAW469,508.123,1.36802,3.29774,10.4868
BAW46PX,563.175,0.495115,3.55934,11.3187
BAW472,623.399,0.534224,3.90035,12.4031
BAW473,649.559,4.32206,4.06792,12.936
BAW474,623.399,0.534224,3.90035,12.4031
BAW475,649.559,4.32206,4.00323,12.7303
BAW477,649.559,4.32206,4.00323,12.7303
BAW479,649.559,4.32206,4.06792,12.936
BAW47MG,902.375,1.47994,5.42818,17.2616
BAW47NL,530.245,0.169098,3.24789,10.3283
BAW480,623.399,0.534224,3.88395,12.351
BAW481B,649.559,4.32206,4.02844,12.8104
BAW485,649.559,4.32206,4.06792,12.936
BAW486,623.399,0.534224,3.90035,12.4031
BAW487,649.559,4.32206,4.02844,12.8104
BAW48BC,623.399,0.534224,3.88395,12.351
BAW48G,740.124,0.230133,4.4663,14.2028
BAW48Q,4165.58,0.219427,88.4052,281.128
BAW49,4238.11,1.78556,89.9707,286.107
BAW490U,961.534,1.75435,5.59429,17.7898
BAW491U,950.68,0.721602,5.55358,17.6604
BAW499,854.041,1.00068,5.05492,16.0746
BAW49AJ,570.381,4.51519,3.47465,11.0494
BAW49MG,902.375,1.47994,5.06801,16.1163
BAW4AB,512.055,0.18207,3.63299,11.5529
BAW4DC,207.909,9.6437,1.71804,5.46337
BAW4DP,506.298,5.65095,3.3079,10.5191
BAW4GP,902.375,1.47994,5.42818,17.2616
BAW4LT,326.439,18.5629,2.332,7.41575
BAW4VK,671.468,2.92926,3.94741,12.5528
BAW5,5196.51,0.366691,52.5702,167.173
BAW501,856.384,1.24964,5.03902,16.0241
BAW502,987.788,15.2096,5.67311,18.0405
BAW503,856.384,1.24964,5.03902,16.0241
BAW504,848.809,0.444906,5.0268,15.9852
BAW507,942.258,1.714,5.47808,17.4203
BAW508,938.355,1.33516,5.47853,17.4217
BAW50G,2834.59,0.235004,42.0829,133.823
BAW50MJ,544.539,0.245324,3.36777,10.7095
BAW50PT,848.809,0.444906,4.98877,15.8643
BAW51B,2848.12,0.66451,42.5142,135.195
BAW51VN,615.605,8.89481,3.8461,12.2306
BAW524R,782.87,2.88777,4.68005,14.8825
