Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
139,CFE53TK,287.970586,11.8015,1.45046,4.61246,2407
140,CFE5VZ,287.970586,11.8015,1.53242,4.8731,2356
141,CFE7349,287.970586,11.8015,1.43521,4.56395,2404
142,CFE79J,287.970586,11.8015,1.47795,4.69988,2370
143,EZY21UK,287.970586,11.8015,1.96374,6.24469,2320
144,EZY82XF,287.970586,11.8015,1.87161,5.95171,2281
145,MCKSB,287.970586,11.8015,0.73698,2.3436,2284
146,MSSYS,287.970586,11.8015,0.440347,1.4003,2468
147,STK3AP,287.970586,11.8015,1.5909,5.05905,2447
148,SWR435,287.970586,11.8015,1.54691,4.91917,2384
149,SWR43P,48.138612,5.16611e-009,0.402071,1.27859,416
150,SWR44K,287.970586,11.8015,1.56212,4.96755,2388
151,AZA217,287.970586,11.8015,1.49213,4.74497,2425
152,AZA227,287.970586,11.8015,1.40885,4.48015,2410
153,AZA82J,287.970586,11.8015,1.4171,4.50639,2411
154,CFE1AM,287.970586,11.8015,1.51312,4.81172,2351
155,CFE2285,287.970586,11.8015,1.55361,4.94046,2361
156,CFE33E,287.970586,11.8015,1.53793,4.89063,2357
157,CFE47L,287.970586,11.8015,1.46417,4.65606,2366
158,CFE5VZ,287.970586,11.8015,1.56888,4.98904,2366
159,CFE79J,287.970586,11.8015,1.46924,4.67218,2368
160,EZY82XF,287.970586,11.8015,1.86268,5.92333,2279
161,JFA15A,287.970586,11.8015,0.1984,0.630912,4327
162,N531EA,287.970586,11.8015,0.172514,0.548594,3415
163,NJE810B,287.970586,11.8015,0.773424,2.45949,2315
164,STK3AP,287.970586,11.8015,1.6842,5.35575,2470
165,SWR435,287.970586,11.8015,1.55852,4.95609,2386
166,SWR43P,287.970586,11.8015,1.5062,4.78973,2375
167,SWR44K,287.970586,11.8015,1.50923,4.79934,2376
168,XGO4MN,287.970586,11.8015,0.243239,0.773499,3126
169,XJC274P,287.970586,11.8015,0.430381,1.36861,2774
170,CFE1AM,287.970586,11.8015,1.57444,5.00672,2367
171,CFE8741,287.970586,11.8015,1.28673,4.0918,2397
172,EES312B,287.970586,11.8015,0.362754,1.15356,2763
173,EZY7369,287.970586,11.8015,1.89917,6.03936,2285
174,EZY82XF,287.970586,11.8015,1.89917,6.03936,2285
175,N707SN,287.970586,11.8015,0.170718,0.542885,3450
176,STK3AP,287.970586,11.8015,1.62032,5.15261,2453
177,SWR435,287.970586,11.8015,1.52014,4.83405,2379
178,SWR44K,287.970586,11.8015,1.57352,5.0038,2391
179,AHO616Y,287.970586,11.8015,0.535334,1.70236,2537
180,CFE33E,287.970586,11.8015,1.28943,4.10039,2397
181,CFE5VZ,287.970586,11.8015,1.53931,4.895,2358
182,CFE79J,287.970586,11.8015,1.42404,4.52844,2413
183,CFE8741,287.970586,11.8015,1.53242,4.8731,2356
184,EZY21UK,287.970586,11.8015,1.90076,6.04442,2316
185,EZY7369,287.970586,11.8015,1.97616,6.28419,2298
186,EZY82XF,287.970586,11.8015,1.83729,5.84259,2276
187,PNC1VL,287.970586,11.8015,0.461867,1.46874,2617
