Airspace,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
e8a08506-6d11-432d-a121-accc5f5b9991,Delta,0,0,0,0,0,0,0
c01684f6-1068-4fe2-8580-fda312737fd4,Baseline,0,0,0,0,0,0,0
c01684f6-1068-4fe2-8580-fda312737fd4,Current,0,0,0,0,0,0,0
c01684f6-1068-4fe2-8580-fda312737fd4,Delta,0,0,0,0,0,0,0
844ec317-d14b-4078-9b23-3c14988e84ca,Baseline,0,0,0,0,0,0,0
844ec317-d14b-4078-9b23-3c14988e84ca,Current,0,0,0,0,0,0,0
844ec317-d14b-4078-9b23-3c14988e84ca,Delta,0,0,0,0,0,0,0
19e7d191-298a-4365-b02f-56c9ff40a41a,Baseline,0,0,0,0,0,0,0
19e7d191-298a-4365-b02f-56c9ff40a41a,Current,0,0,0,0,0,0,0
19e7d191-298a-4365-b02f-56c9ff40a41a,Delta,0,0,0,0,0,0,0
c2e37395-9597-4b12-8385-dbaabf6a466f,Baseline,0,0,0,0,0,0,0
c2e37395-9597-4b12-8385-dbaabf6a466f,Current,0,0,0,0,0,0,0
c2e37395-9597-4b12-8385-dbaabf6a466f,Delta,0,0,0,0,0,0,0
b9fa9aa7-9723-4bc1-a932-734a791abb33,Baseline,0,0,0,0,0,0,0
b9fa9aa7-9723-4bc1-a932-734a791abb33,Current,0,0,0,0,0,0,0
b9fa9aa7-9723-4bc1-a932-734a791abb33,Delta,0,0,0,0,0,0,0
61df4093-8520-493c-885c-0eb945ebffb6,Baseline,0,0,0,0,0,0,0
61df4093-8520-493c-885c-0eb945ebffb6,Current,0,0,0,0,0,0,0
61df4093-8520-493c-885c-0eb945ebffb6,Delta,0,0,0,0,0,0,0
b0adf440-0f03-4935-a535-b69d04a994f0,Baseline,0,0,0,0,0,0,0
b0adf440-0f03-4935-a535-b69d04a994f0,Current,0,0,0,0,0,0,0
b0adf440-0f03-4935-a535-b69d04a994f0,Delta,0,0,0,0,0,0,0
4194ee1f-2ae7-43c1-ae10-88918565ae1d,Baseline,0,0,0,0,0,0,0
4194ee1f-2ae7-43c1-ae10-88918565ae1d,Current,0,0,0,0,0,0,0
4194ee1f-2ae7-43c1-ae10-88918565ae1d,Delta,0,0,0,0,0,0,0
5e1018e6-56f5-45de-b355-e66d576f9eaa,Baseline,0,0,0,0,0,0,0
5e1018e6-56f5-45de-b355-e66d576f9eaa,Current,0,0,0,0,0,0,0
5e1018e6-56f5-45de-b355-e66d576f9eaa,Delta,0,0,0,0,0,0,0
3991647d-dbad-42a2-a1c8-2058f7347ee1,Baseline,0,0,0,0,0,0,0
3991647d-dbad-42a2-a1c8-2058f7347ee1,Current,0,0,0,0,0,0,0
3991647d-dbad-42a2-a1c8-2058f7347ee1,Delta,0,0,0,0,0,0,0
1813acd9-b159-47dc-a128-994a214fdb38,Baseline,0,0,0,0,0,0,0
1813acd9-b159-47dc-a128-994a214fdb38,Current,0,0,0,0,0,0,0
1813acd9-b159-47dc-a128-994a214fdb38,Delta,0,0,0,0,0,0,0
dd536f0f-4051-4a7b-adaf-c642c84adea6,Baseline,0,0,0,0,0,0,0
dd536f0f-4051-4a7b-adaf-c642c84adea6,Current,0,0,0,0,0,0,0
dd536f0f-4051-4a7b-adaf-c642c84adea6,Delta,0,0,0,0,0,0,0
f821eabe-5364-4f36-9a82-b6158e6db1ff,Baseline,0,0,0,0,0,0,0
f821eabe-5364-4f36-9a82-b6158e6db1ff,Current,0,0,0,0,0,0,0
f821eabe-5364-4f36-9a82-b6158e6db1ff,Delta,0,0,0,0,0,0,0
022a43c4-2b11-445f-812e-dc9378e8e8d9,Baseline,0,0,0,0,0,0,0
022a43c4-2b11-445f-812e-dc9378e8e8d9,Current,0,0,0,0,0,0,0
022a43c4-2b11-445f-812e-dc9378e8e8d9,Delta,0,0,0,0,0,0,0
145fda2b-9c0b-43e4-81a4-385413bac9bf,Baseline,0,0,0,0,0,0,0
145fda2b-9c0b-43e4-81a4-385413bac9bf,Current,0,0,0,0,0,0,0
145fda2b-9c0b-43e4-81a4-385413bac9bf,Delta,0,0,0,0,0,0,0
4ec8e4ca-77a6-404a-8278-720a4cba740e,Baseline,0,0,0,0,0,0,0
4ec8e4ca-77a6-404a-8278-720a4cba740e,Current,0,0,0,0,0,0,0
4ec8e4ca-77a6-404a-8278-720a4cba740e,Delta,0,0,0,0,0,0,0
d3b2b662-8d33-43f6-af5d-b0100ebe221f,Baseline,0,0,0,0,0,0,0
d3b2b662-8d33-43f6-af5d-b0100ebe221f,Current,0,0,0,0,0,0,0
d3b2b662-8d33-43f6-af5d-b0100ebe221f,Delta,0,0,0,0,0,0,0
b0f24b96-17bb-45fb-b174-e1a02480564e,Baseline,0,0,0,0,0,0,0
b0f24b96-17bb-45fb-b174-e1a02480564e,Current,0,0,0,0,0,0,0
b0f24b96-17bb-45fb-b174-e1a02480564e,Delta,0,0,0,0,0,0,0
66717a2c-a24e-4743-8852-4c84bb355dc8,Baseline,0,0,0,0,0,0,0
66717a2c-a24e-4743-8852-4c84bb355dc8,Current,0,0,0,0,0,0,0
66717a2c-a24e-4743-8852-4c84bb355dc8,Delta,0,0,0,0,0,0,0
a003259c-20b8-4b86-aa28-08fde4aa1759,Baseline,0,0,0,0,0,0,0
a003259c-20b8-4b86-aa28-08fde4aa1759,Current,0,0,0,0,0,0,0
a003259c-20b8-4b86-aa28-08fde4aa1759,Delta,0,0,0,0,0,0,0
41c8a02b-7f69-46cd-aa62-5fe22ef56af2,Baseline,0,0,0,0,0,0,0
41c8a02b-7f69-46cd-aa62-5fe22ef56af2,Current,0,0,0,0,0,0,0
41c8a02b-7f69-46cd-aa62-5fe22ef56af2,Delta,0,0,0,0,0,0,0
0d881009-3275-4b10-ba22-15ea79989324,Baseline,0,0,0,0,0,0,0
0d881009-3275-4b10-ba22-15ea79989324,Current,0,0,0,0,0,0,0
