Callsign,Track Miles,3Di Score,Fuel Burn,CO2
BAW12DT,389.678,1.96114,1.68106,5.34577
BAW12P,507.782,145.653,3.97343,12.6355
BAW130T,998.534,119.345,6.09308,19.376
BAW131T,533.123,6.85669,2.26918,7.21599
BAW132,470.631,1.12917,4.11637,13.0901
BAW133,973.89,117.766,12.6777,40.315
BAW138,387.676,1.49012,3.35766,10.6773
BAW139,815.71,185.589,11.0177,35.0363
BAW13FC,2623.76,425.656,13.696,43.5532
BAW13G,888.124,56.2283,25.3218,80.5234
BAW141M,596.51,16.1766,3.8264,12.1679
BAW142,462.322,1.85419,6.06645,19.2913
BAW143,534.039,30.2323,10.8335,34.4506
BAW146,513.23,1.31945,2.55722,8.13195
BAW147,2331.61,720.905,13.5051,42.9461
BAW148,513.23,1.31945,2.55722,8.13195
BAW149,1172.21,317.814,7.5691,24.0697
BAW14K,596.224,2.29203,7.86961,25.0254
BAW14R,475.398,10.4899,3.38863,10.7758
BAW15,984.522,114.589,20.8569,66.3248
BAW151Q,498.312,2.72173,2.25729,7.17818
BAW152L,465.317,5.86998,3.43061,10.9094
BAW154,513.23,1.31945,4.71585,14.9964
BAW155,2331.61,720.905,26.3747,83.8715
BAW156,389.678,1.96114,4.57439,14.5465
BAW157,416.713,0.506198,9.21787,29.3128
BAW15K,879.6,56.3802,25.4778,81.0194
BAW15PZ,440.395,2.33252,3.17009,10.0809
BAW16,294.833,4.88509,4.0639,12.9232
BAW160J,149.463,6.35329,1.3668,4.34643
BAW161,745.622,87.7483,13.9997,44.5192
BAW162,252.925,3.66547,1.04687,3.32905
BAW163,976.604,116.815,6.52955,20.764
BAW164,252.925,3.66547,3.17598,10.0996
BAW165,243.012,0.285521,7.85455,24.9775
BAW166,252.925,3.66547,2.45288,7.80015
BAW167,2077.95,679.978,33.2576,105.759
BAW168,441.325,3.56702,5.47089,17.3974
BAW169,1022.12,138.588,18.2418,58.0091
BAW16GM,603.053,12.5133,3.77883,12.0167
BAW16H,389.678,1.96114,1.68106,5.34577
BAW16LX,290.693,4.34106,2.20372,7.00783
BAW16MT,469.467,2.90358,2.05286,6.52809
BAW17,1709.02,152.319,19.1645,60.9432
BAW170M,414.46,10.6893,1.76931,5.6264
BAW172,596.224,2.29203,11.9459,37.9878
BAW173A,879.6,56.3802,25.4778,81.0194
BAW175,879.6,56.3802,25.4778,81.0194
BAW176A,568.106,3.24388,11.3097,35.9648
BAW178,588.758,4.28843,11.7787,37.4562
