Airspace,Key,Function,TimeOfDay,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,07:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,07:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,07:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,07:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,07:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,07:40,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,07:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,07:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,07:50,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,08:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,08:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,08:00,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,08:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,08:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,08:10,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,08:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,08:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,08:20,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,08:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Current,08:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Delta,08:30,0,0,0,0,0,0,0
EGSECT0277,9a1a04c1-c453-4abd-8f01-728ced2ba218,Baseline,08:40,0,0,0,0,0,0,0
