Airspace,Key,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,12:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,12:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,12:40,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,12:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,12:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,12:50,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,13:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,13:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,13:00,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,13:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,13:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,13:10,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,13:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,13:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,13:20,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Baseline,13:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Current,13:30,0,0,0,0,0,0,0
EGTT11NOR,81b83cae-cd52-4fd9-b118-048643c191c1,Delta,13:30,0,0,0,0,0,0,0
