Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
244,WZZ6XJ,217.337217,42.3352,2.44413,7.77234,2076
245,WUK526,217.337217,42.5461,2.30346,7.32499,2079
246,BCS6756,217.337217,42.6721,4.50911,14.339,2062
247,GAC408E,217.337217,40.9942,0.280374,0.891588,2950
248,WZZ5ZU,217.337217,42.5461,2.30346,7.32499,2079
249,WUK4MK,217.337217,42.8031,2.37019,7.53721,2082
250,RYR8GL,217.337217,42.8735,2.24548,7.14064,2077
251,BCS6717,217.337217,42.4057,4.38946,13.9585,2056
252,EZY2157,217.337217,40.9516,1.94401,6.18196,2142
253,YUGSF,217.337217,43.2296,0.675179,2.14707,2103
254,BMS7SE,217.337217,42.4198,1.9778,6.28939,2115
255,ELY312,217.337217,42.8735,2.24548,7.14064,2077
256,SVW72VP,217.337217,43.1862,0.991882,3.15419,2103
257,BMS9VQ,217.337217,42.8735,2.24548,7.14064,2077
258,ESW280,217.337217,42.9965,0.681746,2.16795,2100
259,SXN65C,217.337217,43.1171,0.690323,2.19523,2119
260,BMS1NY,217.337217,42.7482,2.22308,7.06939,2074
261,WUK52,217.337217,42.5461,2.30346,7.32499,2079
262,VPCMC,217.337217,43.1862,0.991882,3.15419,2103
263,RYR74E,217.337217,43.0076,2.29317,7.29229,2077
264,VJT565,217.337217,43.3348,0.677634,2.15488,2128
265,WUK8FL,217.337217,42.5891,2.17287,6.90974,2080
266,WUK1VN,217.337217,42.5461,2.30346,7.32499,2079
267,TVS9J,217.337217,42.7241,0.622429,1.97932,2212
268,EZY79EZ,217.337217,40.7555,2.0656,6.5686,2115
269,EZY2085,217.337217,42.4459,2.14049,6.80676,2079
270,LXG55GA,217.337217,30.3545,0.555835,1.76755,2941
271,WZZ6ER,217.337217,42.5891,2.17287,6.90974,2080
272,EZY12VV,217.337217,42.2999,2.11847,6.73673,2076
273,EZY86FH,217.337217,43.0421,2.01566,6.40979,2075
274,EDC638R,217.337217,43.0584,0.987249,3.13945,2102
275,WUK1024,217.337217,42.5891,2.17287,6.90974,2080
276,WZZ13BB,217.337217,42.5461,2.30346,7.32499,2079
277,ELY212,217.337217,42.6782,6.59403,20.969,2008
278,WZZ518,217.337217,42.5461,2.30346,7.32499,2079
279,WUK4451,217.337217,42.4459,2.14049,6.80676,2079
280,WUK612,217.337217,42.5461,2.30346,7.32499,2079
281,EZY28UE,217.337217,42.4459,2.14049,6.80676,2079
282,EZY56DH,217.337217,43.1779,2.04993,6.51879,2075
283,WZZ471,217.337217,42.5891,2.17287,6.90974,2080
284,WZZ1AC,217.337217,42.5461,2.30346,7.32499,2079
285,EZY31XF,217.337217,42.1236,1.96067,6.23495,2067
286,WZZ560,217.337217,42.3352,2.44413,7.77234,2076
287,BWJ888,217.337217,42.7506,1.37269,4.36516,2034
288,WUK452,217.337217,42.5461,2.30346,7.32499,2079
289,WUK5DX,217.337217,42.5461,2.30346,7.32499,2079
290,WUK687,217.337217,42.1547,2.10682,6.69967,2070
291,N36GV,217.337217,42.8187,1.20656,3.83687,2090
292,EZY41PW,217.337217,42.5891,2.17287,6.90974,2080
293,EZY2351,217.337217,42.4459,2.14049,6.80676,2079
294,EZY96YG,217.337217,40.9516,1.94401,6.18196,2142
295,EZY93GN,217.337217,42.5444,2.0659,6.56957,2083
296,BCS6789,217.337217,42.6721,4.50911,14.339,2062
297,RYR4YV,217.337217,42.7482,2.22308,7.06939,2074
298,WZZ575,217.337217,42.5891,2.17287,6.90974,2080
299,WZZ4ZC,217.337217,42.5461,2.30346,7.32499,2079
300,WUK501,217.337217,42.4114,2.27926,7.24804,2075
301,EZY85GB,217.337217,42.5891,2.17287,6.90974,2080
302,WZZ217,217.337217,42.5891,2.17287,6.90974,2080
303,WZZ14AA,217.337217,42.5461,2.30346,7.32499,2079
304,EZY38ZR,217.337217,43.0421,2.01566,6.40979,2075
305,WUK8XN,217.337217,42.5461,2.30346,7.32499,2079
306,BMS7VV,217.337217,42.3201,2.02102,6.42685,2123
307,RYR3RU,217.337217,42.8735,2.24548,7.14064,2077
308,AHO626F,6.234838,2.46551,0.0559552,0.177938,125
309,EZY71DC,217.337217,40.9516,1.94401,6.18196,2142
310,WUK3WT,217.337217,42.5891,2.17287,6.90974,2080
311,VJT256,217.337217,42.7506,1.37269,4.36516,2034
312,VLG84AS,217.337217,40.7555,2.0656,6.5686,2115
313,DISAR,217.337217,39.5359,0.389983,1.24015,2328
314,WZZ371,217.337217,42.5891,2.17287,6.90974,2080
315,WZZ1321,217.337217,42.5891,2.17287,6.90974,2080
316,WZZ6CP,217.337217,42.5891,2.17287,6.90974,2080
317,WZZ8US,217.337217,42.4657,2.46152,7.82763,2078
318,WZZ2SK,217.337217,42.6704,2.33429,7.42303,2082
319,WZZ6VJ,217.337217,42.5891,2.17287,6.90974,2080
320,WZZ8WE,217.337217,42.4459,2.14049,6.80676,2079
321,WZZ502,217.337217,42.4459,2.14049,6.80676,2079
322,WZZ9LV,217.337217,42.5891,2.17287,6.90974,2080
323,SXS5AM,217.337217,42.8735,2.24548,7.14064,2077
324,WZZ607,217.337217,42.5891,2.17287,6.90974,2080
325,WUK5AY,217.337217,42.5461,2.30346,7.32499,2079
326,WZZ2DU,217.337217,42.5461,2.30346,7.32499,2079
327,WZZ1CD,217.337217,42.5891,2.17287,6.90974,2080
328,WZZ3PK,217.337217,42.5461,2.30346,7.32499,2079
329,WUK3909,217.337217,42.5461,2.30346,7.32499,2079
330,WZZ100B,217.337217,42.5891,2.17287,6.90974,2080
331,WUK2EC,217.337217,42.5461,2.30346,7.32499,2079
